Term	Notes	English	Chinese (Simplified)	Chinese (Traditional)	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Japanese	Korean	Ukrainian	Russian
zjave_food_chest_name		Food Chest	食物箱	食物箱	Food Chest	Food Chest	Food Chest	Food Chest	Food Chest	Food Chest	Food Chest	Food Chest	음식 상자	Food Chest	Food Chest
zjave_food_chest_description		A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.	储存食物的箱子。讲个冷笑话，在某次月亮年结束的时候，工人从食物箱取出食物时食物又掉进了箱子里，导致他被饿死了。作者至今不知道原因	儲存食物的箱子。 講個冷笑話，在某次月亮年結束的時候，工人從食物箱取出食物時食物又掉進了箱子裏，導致他被餓死了。 作者至今不知道原因	A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.	A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.	A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.	A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.	A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.	A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.	A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.	A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.	음식을 보관하는 상자입니다. 여기 냉소적인 농담이 하나 있어요: 어느 한 해가 끝나갈 무렵, 한 노동자가 음식 상자에서 음식을 꺼내려 했지만, 음식이 계속 상자 안으로 떨어져 결국 굶어 죽고 말았대요. 그 이유는 아직도 아무도 모른다고 하네요.	A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.	A Chest for storing food. Here’s a dark joke: At the end of a certain lunar year, a worker was taking food out of the storage box, but the food kept falling back inside, leaving him to starve to death. To this day, the author has no idea why it happened.
zjave_stick_workshop_name		Stick Workshop	木棍作坊	木棍作坊	Stick Workshop	Stick Workshop	Stick Workshop	Stick Workshop	Stick Workshop	Stick Workshop	Stick Workshop	Stick Workshop	가지 작업장	Stick Workshop	Stick Workshop
zjave_stick_workshop_description		Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.	使用木材来生产木棍，需要一位村民或者工人才能进行生产。本作坊无法受工人的工作效率加成。	使用木材来生产木棍，需要一位村民或者工人才能进行生产。本作坊无法受工人的工作效率加成。	Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.	Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.	Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.	Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.	Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.	Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.	Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.	Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.	나무를 사용하여 가지를 생산합니다. 한 명의 주민 또는 작업자가 작업해야 합니다. 이 작업장은 작업자의 효율성 보너스의 혜택을 받을 수 없습니다.	Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.	Uses wood to produce sticks, requiring one villager or worker to operate. This workshop cannot benefit from the efficiency bonus of workers.
zjave_stick_workshop_status		The worker seems to be slacking off.	工人想磨洋工	工人想磨洋工	The worker seems to be slacking off.	The worker seems to be slacking off.	The worker seems to be slacking off.	The worker seems to be slacking off.	The worker seems to be slacking off.	The worker seems to be slacking off.	The worker seems to be slacking off.	The worker seems to be slacking off.	게으름을 피우는 것 같습니다.	The worker seems to be slacking off.	The worker seems to be slacking off.
zjave_fruit_salad_workshop_name		Fruit Salad Workshop	水果沙拉作坊	水果沙拉作坊	Fruit Salad Workshop	Fruit Salad Workshop	Fruit Salad Workshop	Fruit Salad Workshop	Fruit Salad Workshop	Fruit Salad Workshop	Fruit Salad Workshop	Fruit Salad Workshop	과일 샐러드 작업장	Fruit Salad Workshop	Fruit Salad Workshop
zjave_fruit_salad_workshop_description		Uses apples along with berries or grapes to produce fruit salad.	使用苹果加上浆果或者葡萄来生产水果沙拉	使用蘋果加上漿果或者葡萄來生產水果沙拉	Uses apples along with berries or grapes to produce fruit salad.	Uses apples along with berries or grapes to produce fruit salad.	Uses apples along with berries or grapes to produce fruit salad.	Uses apples along with berries or grapes to produce fruit salad.	Uses apples along with berries or grapes to produce fruit salad.	Uses apples along with berries or grapes to produce fruit salad.	Uses apples along with berries or grapes to produce fruit salad.	Uses apples along with berries or grapes to produce fruit salad.	사과와 딸기 또는 포도를 함께 사용하여 과일 샐러드를 만듭니다.	Uses apples along with berries or grapes to produce fruit salad.	Uses apples along with berries or grapes to produce fruit salad.
zjave_fruit_salad_workshop_status		The worker thinks they are a master chef.	工人觉得自己是厨神	工人覺得自己是廚神	The worker thinks they are a master chef.	The worker thinks they are a master chef.	The worker thinks they are a master chef.	The worker thinks they are a master chef.	The worker thinks they are a master chef.	The worker thinks they are a master chef.	The worker thinks they are a master chef.	The worker thinks they are a master chef.	자신이 마스터 셰프라고 생각합니다.	The worker thinks they are a master chef.	The worker thinks they are a master chef.
zjave_shed_workshop_name		Shed Workshop	棚屋工坊	棚屋工坊	Shed Workshop	Shed Workshop	Shed Workshop	Shed Workshop	Shed Workshop	Shed Workshop	Shed Workshop	Shed Workshop	헛간 작업장	Shed Workshop	Shed Workshop
zjave_shed_workshop_description		Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.	使用石头、木材、木棍来建造棚屋，需要一位村民或者工人才能进行工作	使用石頭、木材、木棍來建造棚屋，需要一比特村民或者工人才能進行工作	Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.	Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.	Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.	Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.	Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.	Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.	Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.	Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.	석재, 목재, 가지를 사용하여 헛간을 짓습니다. 한 명의 주민 또는 작업자가 작업해야 합니다.	Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.	Uses stones, wood, and sticks to build a shed, requiring one villager or worker to operate.
